text,Pattern Category
Only 6 items left,3
39 people have this in their cart,5
23% left in stock!,3
In Stock. Only 1 Left!,3
Status:Only 3 left in stock,3
No thanks - I don't want to save money,1
Today's sale ends in: 00hours:57min:19sec,6
ONLY 7 LEFT!,3
8 people are looking at this artwork,5
Add on something to make it extra special!,1
OFFER ENDS 00:54:59,6
Other Items On Special Offer:,1
"You may change the items in your order, or cancel the Smartship at anytime, up until 3 days prior to the scheduled ship date of your Smartship by calling Customer Service at 1-800-518-0284.",2
LIMITED TIME SALE,6
"NO THANKS, I DON'T WANT TO SAVE",1
320 items left,3
HURRY! 3 left in stock!,3
I would like to join Backstage Pass & agree to the Terms & Conditions & to receive emails & other promotional offers.,0
(ONLY 1 LEFT IN THIS SIZE!),3
Only 65 Items Left.,3
Only 3 left in stock.,3
I Don't Like to Save Money,1
"In Stock, Only 1 Left!",3
Explosive Offers! 80% Off Everything 07:25:41,6
Only 4 left,3
I'LL PAY FULL PRICE,1
Hurry only 1 left!,3
Only 8 item(s) left,3
"No thanks, I’d rather not win.",1
"LOW IN STOCK, only 2 left",3
74% offers claimed. Hurry up!,3
I'd rather not save,1
Only 2 left in stock!,3
"no thanks, I hate fun & games",1
00 Days 02 Hrs 26 Mins 12 Sec Sale Ends Once The Timer Hits Zero!,6
"Bobby in Decatur, United States just purchased",5
"tuvia eisenberg Systematics in Tel Aviv, Israel purchased a",5
Your Cart Will Expire In 09:58 minutes!Please note that these items may not be available again if you release them.,6
SAVE 10% On All Orders. No Voucher Code Needed Expires in 18:07:59.,6
One customer bought this article in the last 53 min.,5
Only 9 Left!,3
Hurry! Only 2 left!,3
2 people are looking at this listing now,5
1 left at this price,3
ONLY 12.5M LEFT IN STOCK!,3
Protect Your Gear,1
210+ bought,5
"No thanks, I'm not interested in saving money.",1
Someone in Mount Louisa bought a Coleman Folding Table & Bench Set 2 minutes ago,5
Don't forget the essentials Get up to 2 years of accidental damage coverage with AppleCare+.,1
Competitor Price: $172.00,1
"No thanks, I'd rather pay more",1
6 items left! Order soon.,3
ONLY 20 LEFT IN STOCK,3
ONLY 1 LEFT,3
"No thanks, I don't want 15% off",1
"Ashley in Auburn, United States purchased a Check Plz iPhone X/Xs Case about 24 minutes ago",5
99 people are looking at this right now,5
"Someone from South Gate, California just purchased the Admiral JR / Spektrum Servo Connector Plug Set (Male and Female - 2 Pairs)",5
Only 4 left!,3
Almost Sold Out! Only 2 Left.,3
Days left until the offer ends: 00 Days 04:43:35,6
Spin to unlock your mystery offer,1
Only 2 items left in stock.,3
104 people viewed this product recently!,5
"Armin Dinovic bought 10M Runescape 3 Gold Order total: 3,70€ About 10 seconds ago",5
Only A Few Left,3
Rebecca in Buffalo just bought Sateen Twill Swatchabout 1 hour ago,5
1 in stock,3
"Leah Rich in Louisville, United States purchased a",5
SAVE TODAY: Save 20% on lighting by Le Klint. Limited time only.,6
Only 3 Left! Get it before it`s gone!,3
"No thanks, I'll be the last to know.",1
Hurry Up ! Just 2 Items Left in stock,3
62 people have looked at this item in the last few hours.,5
8 customers have bought today,5
Last 1 in stock,3
Only 1 left!,3
Only a few left,3
"No Thanks, I'll let this offer sail away",1
Limited stock available,3
Hugs and Kisses Rose Bouquet $44.99 Discount -$6.75 Delivery $13.99 Tax $3.46 Item Total $55.69,4
"Due To HIGH Demand, Cart Expires In: 08:41",6
ONLY 3 LEFT! GET IT NOW!,3
5 people are looking at this product right now,5
Hurry up! Discount Ends in DAYS HRS MINS SECS,6
Extremely high demand: expect 2-4 weeks for it to arrive (to be safe). Limit 4 per person!,3
In other users' carts 59,5
"Awhi from Hicks Bay, Gisborne, New Zealand just bought",5
24 people currently interested,5
"IF YOU PARTICIPATE IN AN AUTOMATIC RENEWAL SUBSCRIPTION AND YOU HAVE PROVIDED US WITH A VALID CREDIT CARD NUMBER OR AN ALTERNATE PAYMENT METHOD, EACH SHIPMENT WILL BE AUTOMATICALLY PROCESSED AT THE TIME OF EACH SHIPMENT OR INSTALLMENT AND WILL BE BILLED TO THE PAYMENT METHOD YOU PROVIDED TO US AT THE TIME OF YOUR INITIAL PURCHASE AND AGREEMENT TO PARTICIPATE IN THE PROGRAM. IF YOU WISH TO CANCEL YOUR PARTICIPATION IN AN AUTOMATIC RENEWAL SUBSCRIPTION, YOU MAY DO SO AT ANY TIME BY CONTACTING A CUSTOMER CARE PROFESSIONAL AT THE CONTACT INFORMATION PROVIDED ON THE WEBSITE.",2
5 Viewing This Product,5
23 People viewing this product,5
Activate within 0:30:00,6
"James in Cashion, Oklahoma just bought Glossy Black Brick Geode / Amber Gradient Fast Lanes",5
Fast Mover: 35 PEOPLE added this to cart today!,5
"No thank you, I prefer to pay full price",1
DON'T LET 'EM GET AWAY Several people have recently viewed this item.,5
No thanks. I prefer paying full price.,1
"Crystal Li in Flushing, United States purchased a",5
Only 5 Left in Stock. Buy Soon!,3
"Carl F. from Fort Ann, NY bought a King",5
137 users are currently active on our website,5
"Edwin in Woodland Park, NJ just bought",5
83% offers claimed. Hurry up!,3
Clearance! Only 4 left in stock.,3
"Jeremy in Stockton, United States purchased a",5
Only 4 Left!,3
Only 1 products left,3
1 left in stock,3
🔥 9 people are viewing this.,5
715 people have added this item to cart,5
00DAYS02HRS14MINS1211SEC,6
24 people have purchased this wine today,5
Hurry! Less than 10 left!,3
"I DON'T LIKE FREE GIFTS, NO THANKS",1
ONLY 13 LEFT,3
Someone in Yanchep bought a 52mm Mechanical 'Performance' Boost Gauge - Blue/White 9 seconds ago,5
Someone in Egypt bought,5
"mark in richmond hill, United States purchased a Fugoo Tough 11 minutes ago",5
HURRY! DON'T MISS THIS DEAL! DAYS 0 1 HRS 1 2 MINS 3 1 SECONDS,6
"No, I'd rather pay full price.",1
5338 people viewed this in the last hour,5
Only 1 item left in stock,3
"No Thanks, I don't want a discount",1
Availability: In Stock Hurry! Only 8 Left!,3
Fewer than 5 left!,3
"No Thanks, I prefer paying full price.",1
"Hurry, before it is gone! Limited time remaining!",6
"Keith in Champaign, Illinois bought Mini USB Audio Cassette to MP3 Converterabout 56 minutes ago",5
Only 867 left,3
Only 2 units left in stock,3
Only one item left in stock!,3
LIMITED TIME DEAL!,6
Only 3 available,3
Only 1 left in online stock,3
Hurry! Almost Sold Out...,3
Only 2 copies left,3
Limited Quantity Available,3
"No Thanks, I Don't Like Exclusive Offers.",1
"Trey in Sparta, United States purchased Stealth Angel Ultra Lightweight & Portable Sleeping Bag about 45 minutes ago",5
2 items left,3
"Available, only 2 left",3
"Someone in San diego, United States just bought Gemfield Watch 15 days ago",5
"There is no commitment and no minimum to buy. Please note exact shipment times may vary. To customize this program or future shipments, call customer service anytime at 1-800-THICKEN (844-2536).",2
22 people have looked at this part recently,5
Limited Time!,6
4 sold in last 5 hours,5
Collin P. from Grandview Missouri just bought BURGUNDY TWO BUTTON SUIT ABOUT 5 SECONDS AGO,5
Your order is reserved for 08:53 minutes!,6
OFFER ENDS: 09h: 09m: 55s: 0 ,6
"Kamal in Lathrop, United States purchased a Father Sons Super Slim Stretch Feather Print Long Sleeve - FS429 4 hours ago",5
Someone in city just added Radiance - Nebulizing Diffuser® to their cart,5
Hurry! Only 1 Pair left!,3
Flash Sale - Almost Over! 00 HOURS : 55 1001 MINUTES : 0550 8778 SECONDS,6
Cart will expire in 04:53 minutes!,6
"Hurry, Only 4 Left In Stock. Buy Now!",3
Only 7 left,3
89% offers claimed. Hurry up!,3
"No thanks, I hate cool stuff",1
Cheryl in Ontario bought 100% Organic Reishi Mushroom Powder 100g about 16 minutes ago,5
20 units left,3
High demand,3
3642 BOUGHT,5
5 in stock,3
"Nancy in Pennsylvania purchased 24"" Italian Sterling Silver Milano Twist Adjustable Chain",5
Only 1 left,3
"Abbie in Calwell, Australia purchased Shark Bite Socks about 1 hour ago",5
Last purchase was 18 minutes ago by someone from Dublin,5
7 users have looked at this product in the past 6 minutes,5
Only 7 in Stock!,3
Score! You've Qualified for a Checkout Bonus,1
"Someone in Cashmere bought a 
RCM Cosworth Timing Belt Kit 99-02MY EJ20/22/251 hour ago",5
"No thanks, I don't like FREE stuff.",1
"No thanks, I just want the item",1
ONLY 1 LEFT IN STOCK,3
Trending now! Added to basket 38 times today,5
"In stock, only 1 products left",3
LAST 1 LEFT,3
only 2 left in stock,3
"No thanks, I don't like deals.",1
"Size low on stock, only 1 item left",3
8 people have this in their bag right now.,5
11 people viewed this today!,5
How about one of these hot sellers?,1
Only 3 left,3
"Now 20% off, hurry limited time offer!",6
"No thanks, I don't want a free gift.",1
"Hurry! Sale Ends In:

02:59:50",6
"NO, I'D RATHER PAY FULL PRICE",1
activate within 10:00,6
There is only one product left!,3
00DAYS00HOURS47MINUTES36SECONDS SALE ENDS ONCE COUNTER HITS ZERO,6
"Only 3 left, order soon",3
"No, I don't feel lucky",1
1 left in stock. Hurry!,3
Your cart is reserved for 09:35 minutes.,6
LIMITED TIME ONLY: FREE SHIPPING TO SELECT COUNTRIES ON ORDERS OVER $100!,6
ONLY A FEW LEFT!,3
"No thanks, I like full price",1
HIGH DEMAND,3
ONLY A FEW LEFT,3
MOST POPULAR,5
"We'd like to send you weekly emails packed full of our lovely products, clearance goodies and cool stuff to win. You can unsubscribe at any time. If you DON'T want to receive these emails, please tick this box. We'd like to send you the occasional brochure so you can get a regular fix of our lovely product! You can unsubscribe at any time. If you DON'T want to receive these brochures, please tick this box. We'd like to introduce you to other brands you might love who will post you the occasional brochure. You can opt out of this at any time. If you DON'T want to receive these brochures, please tick this box.",1
8 people have viewed this product today!,5
30 people have purchased this item,5
"Chelsea in Burlington, Wisconsin bought Take Out The Boat Jumpsuit, Blackabout 13 minutes ago",5
Limited Time Offer!,6
Almost gone! Only 3 left In Stock,3
3 people are looking at this product,5
38 people are viewing this,5
"no thanks, I don't like to save",1
00 HRS 57 MINS 56 SECS,6
"Stacey in Saint Marys, United States purchased Extra Long (10 Ft) Fiber Cloth Sync & Charge USB Android Cable - Assorted Colors about 30 minutes ago",5
Hurry! Only 6 left in stock!,3
Only 1 Left in this Size!,3
Only 7 left!,3
"Son in Suisun City, United States purchased Commander Lex",5
3DAYS124606,6
"To cancel your order before it ships, call us.",2
More than 752 users are adding shapewear to their cart. Is your size left?,5
"No, I don't feel lucky.",1
Only 2 left in stock. Make it yours.,3
"For more information about the VIP Rewards Club Membership, to purchase or terminate a membership, or to start or stop automatic renewal of a membership, contact Ross-Simons Customer Service by postal mail at: Ross-Simons, 9 Ross-Simons Drive, Cranston, Rhode Island 02920; or by email at customerservice@ross-simons.com; or by calling the VIP Rewards Club priority line at 800-835-3799.",2
"Sayeeganesh in Chennai, India just bought Dhoni the Finisher T-Shirt an hour ago",5
Only 1 left in stock.,3
"Only 1 left , In Stock",3
65% of our customers added Surefit protection this year.,5
50% OFF for Limited Time Only!!!,6
HURRY! ENDS IN: 11 HRS 20 MIN 13 SEC,6
"Sabrina in Paraparaumu, New Zealand purchased a SCHO-KA-KOLA Schokakola energy Chocolate caffeine snack food MRE caffeinated ",5
YOUR CART IS ELIGIBLE FOR AN ADDITIONAL 10% OFF Including Current Promotions + Sale & Clearance 00 hours :29 minutes :26 seconds CHECK OUT NOW,6
10 SEATS LEFT,3
(Only 5 Left),3
Let's make sure you have everything else you need,1
80% offers claimed. Hurry up!,3
Your order is reserved for 09:57 minutes!,6
LAYAWAY SALE WE WILL MATCH YOUR INITIAL PAYMENT. LIMITED TIME ONLY,6
HURRY! ENDS IN: 10 HRS 40 MIN 00 SEC,6
Only 20 left,3
Your one-time offer! Enjoy 10% off sitewide. Applied at checkout Offer ends in: 04 hrs 37 min 56 sec,6
"""Your purchase entitles you to the following special""",1
2 people are looking right now,5
IN HIGH DEMAND!,3
Low Stock Only 2 left,3
Limited-time Deal,3
Limited time - Free Shipping on all orders*,6
Hurry! Only 4 left in stock.,3
"No thanks, I despise coupons!",1
"JULIE in Oak Brook, United States purchased a Watercolor Brush Pens 24 Refillable Colors with Travel Case about 10 hours ago",5
"For a limited time, buy 2 Hydroxycut Hardcore Elite, 30 Servings for $30!",6
(5 Left),3
FREE SHIPPING FOR A LIMITED TIME | PRICES ARE IN USD AND INCLUDE ALL IMPORT DUTIES.,6
Only 3 Left In Stock,3
Only 14 left,3
33 people are eyeing this item!,5
"Nice choice. Did you know you’re missing out on these deals with the item in your cart. Suit + Shirt + Tie now $599.99* - Shop Suits, Shirts and Ties Or Get 2 Suit Packages for $1100*",1
"No thanks, I don't like saving money",1
Only 1 Left in Stock. Buy Soon!,3
19 people have viewed this item,5
"No Thanks, I'd Rather Pay Full Price",1
We only have 8.0000 left in Stock,3
